20150513 160000,0.524500,0.528500,0.518750,0.523750,308522800
20150514 160000,0.525250,0.535000,0.524000,0.532250,293050600
20150515 160000,0.534500,0.537000,0.529250,0.532500,215824760
20150518 160000,0.531250,0.535000,0.528750,0.531750,324971680
20150519 160000,0.531000,0.531750,0.525000,0.526000,250340880
20150520 160000,0.526250,0.532500,0.525500,0.526000,196821360
20150521 160000,0.526250,0.528500,0.521750,0.522250,239690000
20150522 160000,0.523500,0.525375,0.520250,0.521500,212591280
20150526 160000,0.519000,0.522500,0.514350,0.518250,259731080
20150527 160000,0.521750,0.548375,0.520000,0.546000,432320040
20150528 160000,0.546000,0.555347,0.545000,0.553500,327617240
20150529 160000,0.553500,0.557000,0.552500,0.553250,335169760
20150601 160000,0.556750,0.565003,0.553250,0.559500,372612960
20150602 160000,0.556000,0.559000,0.548000,0.548375,223457880
20150603 160000,0.550000,0.554250,0.541500,0.542500,250655680
20150604 160000,0.539250,0.554000,0.539250,0.552250,323692600
20150605 160000,0.550500,0.559000,0.544750,0.556500,313320040
20150608 160000,0.554750,0.558500,0.537500,0.543750,342812040
20150609 160000,0.544250,0.550500,0.543250,0.546500,256807280
20150610 160000,0.540000,0.543500,0.533750,0.536750,529425040
20150611 160000,0.536750,0.546250,0.536750,0.542500,283037840
20150612 160000,0.539000,0.542250,0.526500,0.527750,323726560
20150615 160000,0.525000,0.529125,0.521000,0.526750,306426920
20150616 160000,0.525750,0.534000,0.520500,0.533250,256890120
20150617 160000,0.533000,0.542500,0.531750,0.539500,233537920
20150618 160000,0.544000,0.552000,0.542500,0.548500,299331960
20150619 160000,0.548500,0.553000,0.541750,0.546750,355556080
20150622 160000,0.547750,0.550750,0.536250,0.544375,514153160
20150623 160000,0.545500,0.549750,0.526250,0.530500,414022280
20150624 160000,0.529750,0.532500,0.522750,0.525250,253362160
20150625 160000,0.528500,0.532500,0.525250,0.529250,350417880
20150626 160000,0.525000,0.529250,0.516250,0.518500,421267720
20150629 160000,0.512500,0.517750,0.502250,0.503000,391723840
20150630 160000,0.506000,0.508250,0.499250,0.502750,315812320
20150701 160000,0.514000,0.522500,0.505500,0.510000,302920040
20150702 160000,0.509750,0.513750,0.507250,0.510500,145738600
20150706 160000,0.506250,0.513250,0.500375,0.504250,214768520
20150707 160000,0.501250,0.503250,0.479000,0.494750,594228280
20150708 160000,0.492000,0.495000,0.487250,0.491250,332491480
20150709 160000,0.499000,0.501250,0.482252,0.485250,357589800
20150710 160000,0.491500,0.498250,0.490250,0.493750,216708680
20150713 160000,0.498750,0.499747,0.493625,0.497000,212470760
20150714 160000,0.497750,0.498250,0.490750,0.497250,249217160
20150715 160000,0.496000,0.499250,0.489250,0.493750,265686920
20150716 160000,0.496750,0.504750,0.495000,0.504750,282881840
20150717 160000,0.503000,0.503500,0.495247,0.501750,220372320
20150720 160000,0.501750,0.503750,0.491250,0.492500,188406360
20150721 160000,0.491500,0.501750,0.491500,0.494750,149188360
20150722 160000,0.490250,0.491250,0.479250,0.485125,356442760
20150723 160000,0.486250,0.498500,0.485250,0.491250,169854600
20150724 160000,0.494750,0.495250,0.483500,0.485500,188843960
20150727 160000,0.481250,0.488250,0.477250,0.482750,192412800
20150728 160000,0.484000,0.496500,0.479000,0.493250,198309320
20150729 160000,0.492250,0.503250,0.490250,0.499250,232637320
20150730 160000,0.498000,0.505500,0.498000,0.500500,190165160
20150731 160000,0.502500,0.502750,0.495750,0.498750,218368440
20150803 160000,0.502750,0.507750,0.496250,0.507250,397008400
20150804 160000,0.505750,0.510750,0.503500,0.509250,260064560
20150805 160000,0.521750,0.522250,0.513375,0.514500,234577680
20150806 160000,0.513250,0.517000,0.502750,0.511250,651107680
20150807 160000,0.560000,0.584250,0.547000,0.574500,1405152240
20150810 160000,0.572000,0.598750,0.567000,0.594500,662247640
20150811 160000,0.588750,0.597250,0.585750,0.591500,434966680
20150812 160000,0.582000,0.597250,0.582000,0.593000,384068480
20150813 160000,0.593750,0.595000,0.586500,0.588000,276841840
20150814 160000,0.587500,0.592000,0.584000,0.588500,214592440
20150817 160000,0.587500,0.587500,0.577500,0.584750,273874920
20150818 160000,0.580500,0.584500,0.572500,0.577000,287078000
20150819 160000,0.576250,0.582625,0.568500,0.574750,249248280
20150820 160000,0.568250,0.571000,0.551250,0.554000,426931960
20150821 160000,0.550000,0.559250,0.536250,0.536750,382574160
20150824 160000,0.506750,0.545750,0.500000,0.517750,681867920
20150825 160000,0.540500,0.542500,0.507000,0.507000,622610760
20150826 160000,0.523500,0.545750,0.519500,0.545250,614832320
20150827 160000,0.551000,0.566000,0.547750,0.565750,463691320
20150828 160000,0.565500,0.571750,0.561625,0.568250,320945280
20150831 160000,0.565750,0.569500,0.559625,0.562000,219346440
20150901 160000,0.545750,0.555000,0.535000,0.539000,353408800
20150902 160000,0.553250,0.555500,0.544500,0.555250,344038320
20150903 160000,0.563500,0.566250,0.555750,0.556750,262557520
20150904 160000,0.547250,0.556000,0.543500,0.543750,287957800
20150908 160000,0.557000,0.569250,0.554800,0.567000,238356720
20150909 160000,0.568750,0.573500,0.554500,0.555750,289385960
20150910 160000,0.553000,0.571500,0.549875,0.564500,357075840
20150911 160000,0.558250,0.570000,0.555875,0.566250,301584320
20150914 160000,0.569000,0.570750,0.564253,0.567250,192465440
20150915 160000,0.567500,0.576500,0.565750,0.573500,327976480
20150916 160000,0.572500,0.580750,0.568125,0.577500,173507360
20150917 160000,0.587500,0.592750,0.581500,0.582750,268614760
20150918 160000,0.574750,0.587250,0.571250,0.582250,326073920
20150921 160000,0.583000,0.589500,0.580000,0.588250,281862640
20150922 160000,0.575500,0.579500,0.569125,0.572250,228316920
20150923 160000,0.572750,0.578500,0.570503,0.575000,161633960
20150924 160000,0.571500,0.592000,0.562500,0.586000,382425240
20150925 160000,0.593250,0.601750,0.584500,0.590250,369682720
20150928 160000,0.590250,0.593875,0.578750,0.582500,395582440
20150929 160000,0.588750,0.593750,0.580500,0.592750,380678920
20150930 160000,0.598250,0.617000,0.594750,0.616250,556384240
20151001 160000,0.616250,0.618000,0.586750,0.604250,489297080
20151002 160000,0.601000,0.620015,0.594750,0.620000,386145560
20151005 160000,0.624000,0.643250,0.620750,0.635500,482022840
20151006 160000,0.632500,0.646500,0.626250,0.643750,454419840
20151007 160000,0.645250,0.657000,0.634750,0.650500,310151960
20151008 160000,0.647750,0.655998,0.636750,0.654250,460009640
20151009 160000,0.650750,0.657000,0.639500,0.651750,423248400
20151012 160000,0.652500,0.662500,0.647625,0.658750,227501080
20151013 160000,0.653500,0.663875,0.651250,0.660000,298442840
20151014 160000,0.660750,0.694625,0.660000,0.684000,612167880
20151015 160000,0.685250,0.699750,0.678250,0.685750,526038040
20151016 160000,0.688000,0.703000,0.686250,0.696500,448395880
20151019 160000,0.698750,0.701875,0.687250,0.695250,294675200
20151020 160000,0.692250,0.697500,0.687000,0.694250,264796520
20151021 160000,0.696250,0.702750,0.684000,0.685250,386403760
20151022 160000,0.693250,0.712250,0.692250,0.710000,306727520
20151023 160000,0.716250,0.719500,0.705500,0.714750,381774280
20151026 160000,0.715250,0.717000,0.705000,0.711500,247437400
20151027 160000,0.708000,0.715437,0.707500,0.711000,208267120
20151028 160000,0.715500,0.716750,0.705000,0.716750,217034080
20151029 160000,0.705250,0.712500,0.690750,0.692000,327167080
20151030 160000,0.699500,0.714250,0.694250,0.709250,301158600
20151102 160000,0.711500,0.718250,0.707250,0.717500,190087880
20151103 160000,0.712500,0.717250,0.704500,0.712500,376761200
20151104 160000,0.715750,0.715750,0.697500,0.700750,442260840
20151105 160000,0.704250,0.706125,0.690750,0.692750,477947840
20151106 160000,0.761250,0.798500,0.745500,0.788750,1172271080
20151109 160000,0.781000,0.787500,0.774250,0.785250,492563440
20151110 160000,0.775000,0.779250,0.753752,0.770250,552215680
20151111 160000,0.772500,0.776250,0.760000,0.762750,620126280
20151112 160000,0.761000,0.768000,0.756750,0.760000,291063880
20151113 160000,0.760750,0.764000,0.741250,0.745000,292934680
20151116 160000,0.754750,0.760500,0.748750,0.760000,344213520
20151117 160000,0.762000,0.766500,0.756837,0.760000,257046520
20151118 160000,0.760250,0.776750,0.751875,0.775750,350178480
20151119 160000,0.778500,0.785750,0.772247,0.778000,254056120
20151120 160000,0.783750,0.789250,0.779000,0.784750,239741240
20151123 160000,0.786250,0.791250,0.770125,0.773000,242550040
20151124 160000,0.773000,0.786000,0.769500,0.779250,195427680
20151125 160000,0.777750,0.787000,0.775500,0.778250,138299040
20151127 160000,0.779750,0.787250,0.775750,0.784750,87008080
20151130 160000,0.785500,0.796500,0.784750,0.793000,326745480
20151201 160000,0.800000,0.819500,0.799250,0.818750,409489400
20151202 160000,0.820000,0.828500,0.810750,0.812500,294209760
20151203 160000,0.820250,0.827500,0.806750,0.810750,246650200
20151204 160000,0.810750,0.845250,0.810750,0.843750,458689960
20151207 160000,0.843500,0.843500,0.825250,0.827750,333516240
20151208 160000,0.817500,0.842500,0.812250,0.839000,314481160
20151209 160000,0.838750,0.843750,0.809250,0.817750,372674840
20151210 160000,0.820250,0.829000,0.817500,0.824500,236515080
20151211 160000,0.816250,0.822000,0.810500,0.812250,227301520
20151214 160000,0.813000,0.818750,0.804500,0.814250,276310760
20151215 160000,0.823500,0.830000,0.819000,0.824250,306978320
20151216 160000,0.826000,0.832000,0.818750,0.829250,236245640
20151217 160000,0.830500,0.839000,0.816250,0.816750,254143160
20151218 160000,0.811000,0.819250,0.802500,0.803500,390438400
20151221 160000,0.812250,0.823250,0.805000,0.822375,284214920
20151222 160000,0.825000,0.831500,0.818250,0.823250,129435440
20151223 160000,0.824500,0.829625,0.823000,0.826375,122517560
