Symbol,Price,Label,Text Color,Line Color,Band Color,Band Offset,Show Label,Show Price
ESM6,7525.00,Call Wall,#000000,RED,#80808027,10,TRUE,TRUE
ESM6,7345.00,Put Wall,#000000,GREEN,#80808027,10,TRUE,TRUE
ESM6,4800.00,Zero Gamma,#000000,WHITE,#80808027,10,TRUE,TRUE
