et,expiry,spot,net_gex,net_vol_gex,call_gamma,put_gamma
2026-07-29 00:57:01.453,2026-07-29,7409.69,-7.398976e+07,-1.23220304e+08,0.005243707,0.005243707
2026-07-29 00:58:01.478,2026-07-29,7409.69,-7.459541e+07,-1.2422892e+08,0.0052866293,0.0052866293
2026-07-29 00:59:01.505,2026-07-29,7409.94,-7.453191e+07,-1.2325317e+08,0.0052817734,0.0052817734
2026-07-29 01:00:01.53,2026-07-29,7412.19,-7.470601e+07,-1.23250384e+08,0.0052908976,0.0052908976
2026-07-29 01:01:01.558,2026-07-29,7409.19,-7.469308e+07,-1.23229056e+08,0.0052942666,0.0052942666
2026-07-29 01:02:01.583,2026-07-29,7412.19,-7.494073e+07,-1.23637624e+08,0.0053075207,0.0053075207
2026-07-29 01:03:01.608,2026-07-29,7412.94,-7.471665e+07,-1.23558656e+08,0.00529058,0.00529058
2026-07-29 01:04:01.641,2026-07-29,7413.44,-7.500699e+07,-1.22287664e+08,0.0053104223,0.0053104223
2026-07-29 01:05:01.667,2026-07-29,7413.19,-7.545481e+07,-1.2331136e+08,0.0053424877,0.0053424877
2026-07-29 01:06:01.694,2026-07-29,7412.19,-7.5420024e+07,-1.2442836e+08,0.0053414656,0.0053414656
2026-07-29 01:07:01.721,2026-07-29,7413.94,-7.526988e+07,-1.23009144e+08,0.005328316,0.005328316
2026-07-29 01:08:01.748,2026-07-29,7416.44,-7.54216e+07,-1.2355055e+08,0.005335457,0.005335457
2026-07-29 01:09:01.772,2026-07-29,7418.19,-7.5393264e+07,-9.416824e+07,0.0053309365,0.0053309365
2026-07-29 01:10:01.799,2026-07-29,7417.69,-7.580927e+07,-9.4097896e+07,0.0053610746,0.0053610746
2026-07-29 01:11:01.826,2026-07-29,7417.69,-7.668927e+07,-8.2358904e+07,0.005423306,0.005423306
2026-07-29 01:12:01.851,2026-07-29,7419.69,-7.6900056e+07,-8.1388384e+07,0.005435281,0.005435281
2026-07-29 01:13:01.881,2026-07-29,7418.44,-7.672672e+07,-8.120493e+07,0.0054248576,0.0054248576
2026-07-29 01:14:01.906,2026-07-29,7420.69,-7.6965304e+07,-8.235587e+07,0.005438427,0.005438427
2026-07-29 01:15:01.929,2026-07-29,7421.19,-7.698977e+07,-8.328076e+07,0.005439422,0.005439422
2026-07-29 01:16:01.958,2026-07-29,7418.44,-7.6529176e+07,-8.3378096e+07,0.0054108906,0.0054108906
2026-07-29 01:17:01.984,2026-07-29,7418.69,-7.663088e+07,-8.408525e+07,0.005417716,0.005417716
2026-07-29 01:18:02.007,2026-07-29,7417.19,-7.639304e+07,-8.560776e+07,0.0054030856,0.0054030856
2026-07-29 01:19:02.032,2026-07-29,7416.19,-7.6312336e+07,-8.551733e+07,0.0053988337,0.0053988337
2026-07-29 01:20:02.062,2026-07-29,7416.94,-7.6200704e+07,-8.6874736e+07,0.0053898455,0.0053898455
2026-07-29 01:21:02.088,2026-07-29,7418.69,-7.616953e+07,-8.743195e+07,0.005385099,0.005385099
2026-07-29 01:22:02.118,2026-07-29,7416.69,-7.610101e+07,-8.824163e+07,0.0053831567,0.0053831567
2026-07-29 01:23:02.144,2026-07-29,7419.19,-7.631416e+07,-8.908267e+07,0.005394597,0.005394597
2026-07-29 01:24:02.17,2026-07-29,7419.19,-7.5951504e+07,-8.8659344e+07,0.0053689615,0.0053689615
2026-07-29 01:25:02.205,2026-07-29,7419.94,-7.6138584e+07,-9.006276e+07,0.005381098,0.005381098
2026-07-29 01:26:02.231,2026-07-29,7419.19,-7.612955e+07,-9.064453e+07,0.0053815474,0.0053815474
2026-07-29 01:27:02.257,2026-07-29,7420.19,-7.603915e+07,-9.1424504e+07,0.005373708,0.005373708
2026-07-29 01:28:02.282,2026-07-29,7420.69,-7.6121104e+07,-9.2115424e+07,0.0053787753,0.0053787753
2026-07-29 01:29:02.306,2026-07-29,7420.44,-7.639272e+07,-9.274135e+07,0.005398331,0.005398331
2026-07-29 01:30:02.332,2026-07-29,7420.44,-7.6298416e+07,-9.262687e+07,0.005391667,0.005391667
2026-07-29 01:31:02.353,2026-07-29,7420.44,-7.6176096e+07,-9.3071176e+07,0.005383023,0.005383023
2026-07-29 01:32:02.377,2026-07-29,7419.44,-7.6252776e+07,-9.316487e+07,0.005389895,0.005389895
2026-07-29 01:33:02.402,2026-07-29,7418.44,-7.618787e+07,-9.308557e+07,0.005386759,0.005386759
2026-07-29 01:34:02.423,2026-07-29,7419.44,-7.607453e+07,-9.294709e+07,0.005377295,0.005377295
2026-07-29 01:35:02.446,2026-07-29,7420.69,-7.6104744e+07,-9.2984e+07,0.0053776186,0.0053776186
2026-07-29 01:36:02.472,2026-07-29,7421.44,-7.610063e+07,-9.3275096e+07,0.005376242,0.005376242
2026-07-29 01:37:02.497,2026-07-29,7422.69,-7.593077e+07,-9.365779e+07,0.0053624343,0.0053624343
2026-07-29 01:38:02.517,2026-07-29,7422.19,-7.5783896e+07,-9.406639e+07,0.0053527835,0.0053527835
2026-07-29 01:39:02.543,2026-07-29,7422.69,-7.567105e+07,-9.45152e+07,0.0053440924,0.0053440924
2026-07-29 01:40:02.576,2026-07-29,7422.19,-7.57578e+07,-9.462355e+07,0.00535094,0.00535094
2026-07-29 01:41:02.608,2026-07-29,7420.94,-7.5589624e+07,-9.4413496e+07,0.00534086,0.00534086
2026-07-29 01:42:02.636,2026-07-29,7421.19,-7.598663e+07,-9.520504e+07,0.0053685494,0.0053685494
2026-07-29 01:43:02.67,2026-07-29,7422.69,-7.6095144e+07,-9.563709e+07,0.0053740432,0.0053740432
2026-07-29 01:44:02.698,2026-07-29,7421.44,-7.5763744e+07,-9.5515376e+07,0.0053524417,0.0053524417
2026-07-29 01:45:02.723,2026-07-29,7421.94,-7.5934824e+07,-9.5731064e+07,0.005363805,0.005363805
2026-07-29 01:46:02.747,2026-07-29,7420.69,-7.608112e+07,-9.5915504e+07,0.00537595,0.00537595
2026-07-29 01:47:02.773,2026-07-29,7421.44,-7.615027e+07,-9.6298984e+07,0.0053797485,0.0053797485
2026-07-29 01:48:02.798,2026-07-29,7421.44,-7.605639e+07,-9.6180264e+07,0.005373116,0.005373116
2026-07-29 01:49:02.822,2026-07-29,7421.44,-7.614061e+07,-9.6583024e+07,0.0053790654,0.0053790654
2026-07-29 01:50:02.849,2026-07-29,7420.19,-7.6122184e+07,-9.6559656e+07,0.0053795762,0.0053795762
2026-07-29 01:51:02.875,2026-07-29,7421.44,-7.6083384e+07,-9.651044e+07,0.005375023,0.005375023
2026-07-29 01:52:02.902,2026-07-29,7419.44,-7.6279336e+07,-9.675901e+07,0.0053917724,0.0053917724
2026-07-29 01:53:02.932,2026-07-29,7419.19,-7.603305e+07,-9.6446584e+07,0.0053747254,0.0053747254
2026-07-29 01:54:02.956,2026-07-29,7420.69,-7.626633e+07,-9.822629e+07,0.005389037,0.005389037
2026-07-29 01:55:02.98,2026-07-29,7421.44,-7.6408816e+07,-9.8707104e+07,0.0053980136,0.0053980136
2026-07-29 01:56:03.007,2026-07-29,7419.44,-7.641425e+07,-9.871413e+07,0.005401308,0.005401308
2026-07-29 01:57:03.032,2026-07-29,7418.44,-7.641601e+07,-9.87164e+07,0.005402889,0.005402889
2026-07-29 01:58:03.056,2026-07-29,7417.44,-7.6890944e+07,-9.9329936e+07,0.005437935,0.005437935
2026-07-29 01:59:03.085,2026-07-29,7417.94,-7.6893496e+07,-9.9632424e+07,0.005437382,0.005437382
2026-07-29 02:00:03.111,2026-07-29,7417.94,-7.702843e+07,-9.9507544e+07,0.005446924,0.005446924
2026-07-29 02:01:03.144,2026-07-29,7417.94,-7.705201e+07,-9.9238184e+07,0.005448591,0.005448591
2026-07-29 02:02:03.172,2026-07-29,7417.44,-7.73252e+07,-9.989092e+07,0.0054686465,0.0054686465
2026-07-29 02:03:03.203,2026-07-29,7417.94,-7.739832e+07,-9.9985376e+07,0.0054730796,0.0054730796
2026-07-29 02:04:03.227,2026-07-29,7414.94,-7.744124e+07,-1.0034215e+08,0.0054805465,0.0054805465
2026-07-29 02:05:03.254,2026-07-29,7413.19,-7.712305e+07,-1.0053004e+08,0.005460605,0.005460605
2026-07-29 02:06:03.28,2026-07-29,7412.94,-7.7050344e+07,-1.0223411e+08,0.005455826,0.005455826
2026-07-29 02:07:03.308,2026-07-29,7413.19,-7.691721e+07,-1.0175817e+08,0.0054460308,0.0054460308
2026-07-29 02:08:03.332,2026-07-29,7412.19,-7.6917176e+07,-1.0145884e+08,0.005447498,0.005447498
2026-07-29 02:09:03.359,2026-07-29,7412.69,-7.6788216e+07,-1.0248388e+08,0.0054376316,0.0054376316
2026-07-29 02:10:03.387,2026-07-29,7412.94,-7.6884104e+07,-1.03210176e+08,0.0054440545,0.0054440545
2026-07-29 02:11:03.411,2026-07-29,7413.94,-7.682339e+07,-1.034276e+08,0.005438288,0.005438288
2026-07-29 02:12:03.437,2026-07-29,7413.19,-7.678527e+07,-1.0337628e+08,0.0054366896,0.0054366896
2026-07-29 02:13:03.459,2026-07-29,7413.69,-7.688817e+07,-1.0381399e+08,0.005443241,0.005443241
2026-07-29 02:14:03.482,2026-07-29,7414.94,-7.6903624e+07,-1.03834856e+08,0.0054424996,0.0054424996
2026-07-29 02:15:03.508,2026-07-29,7415.94,-7.71406e+07,-1.04755136e+08,0.005457798,0.005457798
2026-07-29 02:16:03.533,2026-07-29,7416.94,-7.7322416e+07,-1.0500204e+08,0.005469187,0.005469187
2026-07-29 02:17:03.56,2026-07-29,7416.19,-7.71772e+07,-1.05105144e+08,0.0054600197,0.0054600197
2026-07-29 02:18:03.583,2026-07-29,7417.94,-7.733371e+07,-1.05920104e+08,0.005468511,0.005468511
2026-07-29 02:19:03.609,2026-07-29,7418.19,-7.7529096e+07,-1.07696056e+08,0.0054819575,0.0054819575
2026-07-29 02:20:03.648,2026-07-29,7417.19,-7.740667e+07,-1.0812839e+08,0.0054747774,0.0054747774
2026-07-29 02:21:03.674,2026-07-29,7416.69,-7.7399016e+07,-1.0811769e+08,0.005474974,0.005474974
2026-07-29 02:22:03.701,2026-07-29,7416.19,-7.7476176e+07,-1.08526936e+08,0.005481171,0.005481171
2026-07-29 02:23:03.726,2026-07-29,7415.44,-7.763343e+07,-1.08747224e+08,0.0054934076,0.0054934076
2026-07-29 02:24:03.75,2026-07-29,7418.19,-7.7542464e+07,-1.0892152e+08,0.005482903,0.005482903
2026-07-29 02:25:03.774,2026-07-29,7417.69,-7.758961e+07,-1.09591544e+08,0.005486976,0.005486976
2026-07-29 02:26:03.8,2026-07-29,7418.69,-7.753503e+07,-1.1011785e+08,0.005481639,0.005481639
2026-07-29 02:27:03.826,2026-07-29,7420.69,-7.754081e+07,-1.1042777e+08,0.0054790927,0.0054790927
2026-07-29 02:28:03.849,2026-07-29,7421.19,-7.7551264e+07,-1.10140896e+08,0.0054790927,0.0054790927
2026-07-29 02:29:03.874,2026-07-29,7419.69,-7.760705e+07,-1.10522104e+08,0.0054852515,0.0054852515
2026-07-29 02:30:03.909,2026-07-29,7422.69,-7.745345e+07,-1.1030336e+08,0.005469971,0.005469971
2026-07-29 02:31:03.937,2026-07-29,7424.44,-7.782168e+07,-1.1567269e+08,0.0054933853,0.0054933853
2026-07-29 02:32:03.963,2026-07-29,7425.44,-7.6827144e+07,-1.1628699e+08,0.005421721,0.005421721
2026-07-29 02:33:03.99,2026-07-29,7428.94,-7.644191e+07,-1.16298776e+08,0.005389453,0.005389453
2026-07-29 02:34:04.019,2026-07-29,7428.44,-7.5920256e+07,-1.1698219e+08,0.0053533954,0.0053533954
2026-07-29 02:35:04.044,2026-07-29,7428.19,-7.557656e+07,-1.1674667e+08,0.0053295186,0.0053295186
2026-07-29 02:36:04.069,2026-07-29,7429.69,-7.5511016e+07,-1.1635161e+08,0.005322747,0.005322747
2026-07-29 02:37:04.097,2026-07-29,7430.19,-7.5486576e+07,-1.1660767e+08,0.005320308,0.005320308
2026-07-29 02:38:04.125,2026-07-29,7432.44,-7.5776176e+07,-1.1764473e+08,0.005337486,0.005337486
2026-07-29 02:39:04.149,2026-07-29,7432.44,-7.541691e+07,-1.18847664e+08,0.00531218,0.00531218
2026-07-29 02:40:04.176,2026-07-29,7431.94,-7.515244e+07,-1.1901573e+08,0.005294264,0.005294264
2026-07-29 02:41:04.203,2026-07-29,7432.44,-7.5516736e+07,-1.2106184e+08,0.005319211,0.005319211
2026-07-29 02:42:04.228,2026-07-29,7433.94,-7.519988e+07,-1.2143172e+08,0.0052947556,0.0052947556
2026-07-29 02:43:04.261,2026-07-29,7434.69,-7.499776e+07,-1.21688976e+08,0.0052794595,0.0052794595
2026-07-29 02:44:04.293,2026-07-29,7433.94,-7.498263e+07,-1.21956184e+08,0.0052794595,0.0052794595
2026-07-29 02:45:04.323,2026-07-29,7433.69,-7.507361e+07,-1.2210416e+08,0.0052862205,0.0052862205
2026-07-29 02:46:04.35,2026-07-29,7432.94,-7.49836e+07,-1.23416584e+08,0.0052809482,0.0052809482
2026-07-29 02:47:04.374,2026-07-29,7435.94,-7.5008744e+07,-1.24625416e+08,0.005278457,0.005278457
2026-07-29 02:48:04.4,2026-07-29,7435.94,-7.5008744e+07,-1.2696032e+08,0.005278457,0.005278457
