timestamp,date,time,core_oivol,core_vol,spx,es,gex_flip,abs_gex,trigger_type,expiration
1780422909000,2026-06-02,13:55:09,7620,7620,7608.36,7608.36,,226.8586,manual,2026-06-02
1780488762000,2026-06-03,08:12:42,7630,7630,7604.93,7604.93,,1.7356,manual,2026-06-03
1780493026000,2026-06-03,09:23:46,7630,7615,7595.68,7595.68,,3.4177,manual,2026-06-03
1780493873000,2026-06-03,09:37:53,7625,7620,7592.83,7592.83,,12.1111,manual,2026-06-03
1780494302000,2026-06-03,09:45:02,7620,7620,7579.91,7579.91,,18.4193,auto-09:45,2026-06-03
1780494351000,2026-06-03,09:45:51,7620,7620,7579,7579,,18.4193,manual,2026-06-03
1780494366000,2026-06-03,09:46:06,7620,7620,7576.59,7576.59,,21.9609,manual,2026-06-03
1780494556000,2026-06-03,09:49:16,7620,7620,7564.68,7564.68,,67.6692,manual,2026-06-03
1780494568000,2026-06-03,09:49:28,7550,7550,7567,7567,,67.3294,manual,2026-06-03
1780495659000,2026-06-03,10:07:39,7550,7550,7580.74,7580.74,,54.0988,manual,2026-06-03
1780497000000,2026-06-03,10:30:00,7550,7550,7584.98,7584.98,,49.8907,auto-10:30,2026-06-03
1780497002000,2026-06-03,10:30:02,7550,7550,7580.14,7580.14,,61.1717,auto-10:30,2026-06-03
1780502402000,2026-06-03,12:00:02,7550,7550,7567.93,7567.93,,188.2825,auto-12:00,2026-06-03
1780503398000,2026-06-03,12:16:38,7550,7550,7567.2,7567.2,,211.9482,manual,2026-06-03
1780511483000,2026-06-03,14:31:23,7580,7580,7576.1,7576.1,,107.7341,manual,2026-06-03
1780576437000,2026-06-04,08:33:57,7525,7520,7541.5,7541.5,,1.8916,manual,2026-06-04
1780576578000,2026-06-04,08:36:18,7525,7520,7541.5,7541.5,,1.8988,manual,2026-06-04
1780580702000,2026-06-04,09:45:02,7525,7520,7541.5,7541.5,,23.273,auto-09:45,2026-06-04
1780582031000,2026-06-04,10:07:11,7555,7555,7553.68,7553.68,,6.3063,manual,2026-06-04
1780582249000,2026-06-04,10:10:49,7550,7550,7545.91,7545.91,,2.6691,manual,2026-06-04
1780582379000,2026-06-04,10:12:59,7570,7550,7547.42,7547.42,,17.8395,manual,2026-06-04
1780582383000,2026-06-04,10:13:03,7570,7550,7547.42,7547.42,,17.8395,manual,2026-06-04
1780582691000,2026-06-04,10:18:11,7570,7570,7549.33,7549.33,,24.2415,manual,2026-06-04
1780583181000,2026-06-04,10:26:21,7570,7570,7557.01,7557.01,,48.2451,manual,2026-06-04
1780583185000,2026-06-04,10:26:25,7570,7570,7557.01,7557.01,,48.2451,manual,2026-06-04
1780583541000,2026-06-04,10:32:21,7570,7570,7551.55,7551.55,,39.1976,manual,2026-06-04
1780583670000,2026-06-04,10:34:30,7570,7570,7553.51,7553.51,,47.5044,manual,2026-06-04
1780584138000,2026-06-04,10:42:18,7570,7570,7555.65,7555.65,,46.2552,manual,2026-06-04
1780584315000,2026-06-04,10:45:15,7570,7570,7554.22,7554.22,,68.9323,manual,2026-06-04
1780584993000,2026-06-04,10:56:33,7570,7570,7555.41,7555.41,,42.2123,manual,2026-06-04
1780588426000,2026-06-04,11:53:46,7575,7575,7567.46,7567.46,,214.1656,manual,2026-06-04
1780588800000,2026-06-04,12:00:00,7575,7575,7567.4,7567.4,,370.7776,auto-12:00,2026-06-04
1780589921000,2026-06-04,12:18:41,7580,7580,7576.72,7576.72,,336.1838,manual,2026-06-04
1780592052000,2026-06-04,12:54:12,7580,7580,7576.72,7576.72,,336.1838,manual,2026-06-04
1780593293000,2026-06-04,13:14:53,7580,7580,7576.72,7576.72,,336.1838,manual,2026-06-04
1780599176000,2026-06-04,14:52:56,7600,7600,7594.44,7594.44,,33.004,manual,2026-06-04
1780667101000,2026-06-05,09:45:01,7500,7500,1.5388618e+09,1.5388618e+09,,0,2026-06-05,—
1781092621000,2026-06-10,07:57:01,7345,7250,7386.65,7386.65,,4.1595,manual,2026-06-10
1781096799000,2026-06-10,09:06:39,7300,7390,7386.65,7386.65,,4.7874,manual,2026-06-10
1781097317000,2026-06-10,09:15:17,7300,7390,7386.65,7386.65,,5.5325,manual,2026-06-10
1781098008000,2026-06-10,09:26:48,7300,7390,7362.24,7362.24,,11.0663,manual,2026-06-10
1781098858000,2026-06-10,09:40:58,7400,7400,7358.74,7358.74,,2.7448,manual,2026-06-10
1781099142000,2026-06-10,09:45:42,7390,7390,7369.01,7369.01,,2.3944,auto-9:45,2026-06-10
1781099182000,2026-06-10,09:46:22,7390,7390,7372.49,7372.49,,2.3871,manual,2026-06-10
1781099623000,2026-06-10,09:53:43,7400,7400,7367.14,7367.14,,4.4295,manual,2026-06-10
1781099693000,2026-06-10,09:54:53,7400,7400,7368.29,7368.29,,4.0484,manual,2026-06-10
1781101803000,2026-06-10,10:30:03,7400,7400,7385.44,7385.44,,32.8802,auto-10:30,2026-06-10
1781104367000,2026-06-10,11:12:47,7300,7300,7321.47,7321.47,,58.6704,manual,2026-06-10
1781106206000,2026-06-10,11:43:26,7300,7300,7325.56,7325.56,,72.5272,manual,2026-06-10
1781106594000,2026-06-10,11:49:54,7300,7300,7312.63,7312.63,,86.1032,manual,2026-06-10
1781107622000,2026-06-10,12:07:02,7300,7300,7327.59,7327.59,,83.2296,manual,2026-06-10
1781112956000,2026-06-10,13:35:56,7300,7300,7298.11,7298.11,,204.4399,manual,2026-06-10
1781113917000,2026-06-10,13:51:57,7300,7300,7313.47,7313.47,,130.8401,manual,2026-06-10
1781114705000,2026-06-10,14:05:05,7300,7300,7328.9,7328.9,,99.293,manual,2026-06-10
1781114970000,2026-06-10,14:09:30,7300,7300,7320.58,7320.58,,94.7835,manual,2026-06-10
1781115339000,2026-06-10,14:15:39,7300,7300,7322.48,7322.48,,123.5747,manual,2026-06-10
1781115387000,2026-06-10,14:16:27,7300,7300,7323.48,7323.48,,120.7071,manual,2026-06-10
1781115485000,2026-06-10,14:18:05,7300,7300,7315.28,7315.28,,89.2543,manual,2026-06-10
1781115553000,2026-06-10,14:19:13,7300,7300,7310.17,7310.17,,90.6087,manual,2026-06-10
1781115623000,2026-06-10,14:20:23,7300,7300,7312.29,7312.29,,176.8643,manual,2026-06-10
1781115674000,2026-06-10,14:21:14,7300,7300,7313.26,7313.26,,181.9883,manual,2026-06-10
1781175815000,2026-06-11,07:03:35,7325,7350,7326,7326,,5.5166,manual,2026-06-11
