variant,avg_$,avg_R,avg_loss_$,avg_win_$,days,direction,eod_flat_%,exit_mode,expectancy_$/trade,max_dd_$,net_$,profit_factor,risk_$,sd_$,side,stop_pts,stopped_%,t_stat,trades,trigger,win_rate_%
new_core_approach:[from_above]momentum/scale_be/$100,-7.35,-0.073,-94.15,70.77,15,momentum,42.1,scale_be,-7.35,-327.38,-139.62,0.84,100.0,93.21,from_above,10.0,52.6,-0.34,19,new_core_approach,52.6
new_core_approach:[from_above]momentum/scale_be/$150,-9.47,-0.063,-123.73,92.1,15,momentum,58.8,scale_be,-9.47,-584.86,-160.91,0.84,150.0,121.82,from_above,15.0,35.3,-0.32,17,new_core_approach,52.9
new_core_approach:[from_above]momentum/scale_be/$250,-20.06,-0.08,-176.41,101.55,15,momentum,62.5,scale_be,-20.06,-629.88,-320.93,0.74,250.0,163.61,from_above,25.0,31.2,-0.49,16,new_core_approach,56.2
new_core_approach:[from_above]momentum/ratchet/$50,0.27,0.005,-57.48,38.77,15,momentum,5.0,ratchet,0.27,-194.8,5.4,1.01,50.0,53.19,from_above,5.0,80.0,0.02,20,new_core_approach,60.0
new_core_approach:[from_above]momentum/ratchet/$100,-3.92,-0.039,-94.15,69.91,15,momentum,35.0,ratchet,-3.92,-329.82,-78.35,0.91,100.0,91.57,from_above,10.0,60.0,-0.19,20,new_core_approach,55.0
new_core_approach:[from_above]momentum/ratchet/$150,-9.47,-0.063,-123.73,92.1,15,momentum,58.8,ratchet,-9.47,-584.86,-160.91,0.84,150.0,121.82,from_above,15.0,35.3,-0.32,17,new_core_approach,52.9
new_core_approach:[from_above]momentum/ratchet/$250,-20.06,-0.08,-176.41,101.55,15,momentum,62.5,ratchet,-20.06,-629.88,-320.93,0.74,250.0,163.61,from_above,25.0,31.2,-0.49,16,new_core_approach,56.2
new_core_approach:[from_above]long/fixed_1r/$50,-18.43,-0.369,-55.94,42.52,15,long,4.8,fixed_1r,-18.43,-414.64,-387.08,0.47,50.0,48.0,from_above,5.0,57.1,-1.76,21,new_core_approach,38.1
new_core_approach:[from_above]long/fixed_1r/$100,-14.5,-0.145,-84.77,79.19,15,long,28.6,fixed_1r,-14.5,-364.88,-304.58,0.7,100.0,86.35,from_above,10.0,38.1,-0.77,21,new_core_approach,42.9
new_core_approach:[from_above]long/fixed_1r/$150,-4.98,-0.033,-106.73,108.08,15,long,42.1,fixed_1r,-4.98,-464.92,-94.62,0.91,150.0,118.73,from_above,15.0,26.3,-0.18,19,new_core_approach,47.4
new_core_approach:[from_above]long/fixed_1r/$250,-3.42,-0.014,-131.65,161.45,15,long,50.0,fixed_1r,-3.42,-664.92,-54.68,0.95,250.0,173.35,from_above,25.0,18.8,-0.08,16,new_core_approach,43.8
new_core_approach:[from_above]long/fixed_2r/$50,-16.29,-0.326,-56.15,83.35,15,long,9.5,fixed_2r,-16.29,-342.08,-342.08,0.59,50.0,64.1,from_above,5.0,66.7,-1.16,21,new_core_approach,28.6
new_core_approach:[from_above]long/fixed_2r/$100,-9.32,-0.093,-84.77,120.02,15,long,36.8,fixed_2r,-9.32,-457.4,-177.12,0.83,100.0,110.0,from_above,10.0,42.1,-0.37,19,new_core_approach,36.8
new_core_approach:[from_above]long/fixed_2r/$150,-21.3,-0.142,-106.73,100.73,15,long,64.7,fixed_2r,-21.3,-469.8,-362.16,0.66,150.0,116.47,from_above,15.0,29.4,-0.75,17,new_core_approach,41.2
new_core_approach:[from_above]long/fixed_2r/$250,-38.81,-0.155,-131.65,100.44,15,long,73.3,fixed_2r,-38.81,-684.8,-582.2,0.51,250.0,140.12,from_above,25.0,20.0,-1.07,15,new_core_approach,40.0
new_core_approach:[from_above]long/fixed_3r/$50,-18.19,-0.364,-56.23,103.52,15,long,14.3,fixed_3r,-18.19,-387.24,-382.08,0.58,50.0,70.75,from_above,5.0,71.4,-1.18,21,new_core_approach,23.8
new_core_approach:[from_above]long/fixed_3r/$100,-16.03,-0.16,-84.77,101.81,15,long,52.6,fixed_3r,-16.03,-457.4,-304.62,0.7,100.0,99.53,from_above,10.0,42.1,-0.7,19,new_core_approach,36.8
new_core_approach:[from_above]long/fixed_3r/$150,-21.3,-0.142,-106.73,100.73,15,long,64.7,fixed_3r,-21.3,-469.8,-362.16,0.66,150.0,116.47,from_above,15.0,29.4,-0.75,17,new_core_approach,41.2
new_core_approach:[from_above]long/fixed_3r/$250,-38.81,-0.155,-131.65,100.44,15,long,73.3,fixed_3r,-38.81,-684.8,-582.2,0.51,250.0,140.12,from_above,25.0,20.0,-1.07,15,new_core_approach,40.0
new_core_approach:[from_above]long/scale_be/$50,-19.74,-0.395,-55.94,39.08,15,long,9.5,scale_be,-19.74,-414.58,-414.58,0.43,50.0,50.3,from_above,5.0,81.0,-1.8,21,new_core_approach,38.1
new_core_approach:[from_above]long/scale_be/$100,-17.54,-0.175,-84.77,72.1,15,long,42.9,scale_be,-17.54,-417.26,-368.33,0.64,100.0,85.65,from_above,10.0,52.4,-0.94,21,new_core_approach,42.9
new_core_approach:[from_above]long/scale_be/$150,-12.28,-0.082,-106.73,92.66,15,long,57.9,scale_be,-12.28,-464.92,-233.37,0.78,150.0,112.04,from_above,15.0,36.8,-0.48,19,new_core_approach,47.4
new_core_approach:[from_above]long/scale_be/$250,-19.9,-0.08,-131.65,123.77,15,long,68.8,scale_be,-19.9,-664.92,-318.43,0.73,250.0,152.08,from_above,25.0,25.0,-0.52,16,new_core_approach,43.8
new_core_approach:[from_above]long/ratchet/$50,-19.74,-0.395,-55.94,39.08,15,long,9.5,ratchet,-19.74,-414.58,-414.58,0.43,50.0,50.3,from_above,5.0,81.0,-1.8,21,new_core_approach,38.1
new_core_approach:[from_above]long/ratchet/$100,-17.54,-0.175,-84.77,72.1,15,long,38.1,ratchet,-17.54,-417.26,-368.33,0.64,100.0,85.65,from_above,10.0,57.1,-0.94,21,new_core_approach,42.9
new_core_approach:[from_above]long/ratchet/$150,-12.28,-0.082,-106.73,92.66,15,long,57.9,ratchet,-12.28,-464.92,-233.37,0.78,150.0,112.04,from_above,15.0,36.8,-0.48,19,new_core_approach,47.4
new_core_approach:[from_above]long/ratchet/$250,-19.9,-0.08,-131.65,123.77,15,long,68.8,ratchet,-19.9,-664.92,-318.43,0.73,250.0,152.08,from_above,25.0,25.0,-0.52,16,new_core_approach,43.8
