sym,tf,dir,thr,n,rate,m1,w1,bw1,gap1,t1,m2,w2,bw2,gap2,t2,m3,w3,bw3,gap3,t3,m5,w5,bw5,gap5,t5,n_recent,gap1_recent,t1_recent
ES,1d,bear,0.02,28,1.17,-13.1875,35.71,44.44,-8.73,-1.32,-30.0714,35.71,41.78,-6.07,-2.08,-14.9375,50.0,40.88,9.12,-0.94,-3.3571,42.86,39.28,3.58,-0.13,14,-3.82,-0.32
ES,1d,bull,0.05,234,9.779,-1.0043,57.26,55.14,2.12,-0.38,-0.1517,53.42,57.84,-4.42,-0.04,-0.2062,53.42,58.79,-5.37,-0.05,1.0524,57.26,60.47,-3.2,0.19,94,1.19,-0.39
ES,1d,bear,0.05,83,3.468,-10.0843,37.35,44.44,-7.09,-1.31,-18.6717,38.55,41.78,-3.23,-2.1,-14.6416,42.17,40.88,1.29,-1.39,-29.3735,33.73,39.28,-5.54,-2.47,42,-1.44,-0.4
ES,1d,bull,0.1,434,18.136,0.3404,57.14,55.14,2.0,0.18,3.1613,58.53,57.84,0.68,1.16,5.0225,59.91,58.79,1.12,1.64,7.2385,61.29,60.47,0.82,1.82,187,0.41,0.12
ES,1d,bear,0.1,191,7.982,-4.5039,41.36,44.44,-3.08,-0.98,-6.8469,41.88,41.78,0.1,-1.11,-11.4005,41.88,40.88,1.01,-1.58,-15.0825,38.74,39.28,-0.54,-1.86,94,-2.0,-0.74
NQ,1h,bull,0.0,883,1.642,-1.047,49.83,52.26,-2.43,-1.54,-1.5314,50.62,53.39,-2.77,-1.32,-1.8882,51.53,53.67,-2.14,-1.24,-0.6971,54.36,54.05,0.31,-0.39,118,-2.72,-0.92
NQ,1h,bear,0.0,713,1.326,-2.0894,44.18,47.04,-2.86,-1.87,-3.1381,42.64,46.07,-3.43,-2.28,-4.094,42.64,45.95,-3.32,-2.38,-2.6634,42.22,45.69,-3.48,-1.28,82,-6.31,-1.79
NQ,1h,bull,0.01,1108,2.061,-2.1467,49.91,52.26,-2.35,-2.25,-2.6361,50.54,53.39,-2.85,-1.85,-3.1227,50.63,53.67,-3.04,-1.68,-3.3723,53.97,54.05,-0.08,-1.38,262,-3.4,-2.41
NQ,1h,bear,0.01,875,1.627,-1.5886,44.57,47.04,-2.47,-1.27,-2.1674,43.66,46.07,-2.41,-1.37,-2.7471,43.89,45.95,-2.07,-1.31,-1.4994,43.54,45.69,-2.15,-0.56,181,-4.68,-1.88
NQ,1h,bull,0.02,1604,2.983,-1.1978,50.81,52.26,-1.45,-1.33,-0.3995,51.93,53.39,-1.46,-0.3,-0.074,51.87,53.67,-1.8,-0.04,-0.3013,54.61,54.05,0.57,-0.14,537,-1.97,-1.65
NQ,1h,bear,0.02,1183,2.2,-0.2479,44.89,47.04,-2.15,-0.21,-0.3269,43.96,46.07,-2.12,-0.19,-1.8487,44.8,45.95,-1.15,-0.72,-1.3677,44.8,45.69,-0.89,-0.43,354,-1.73,-0.11
NQ,1h,bull,0.05,3424,6.368,-0.8468,50.29,52.26,-1.97,-1.27,-0.439,50.88,53.39,-2.52,-0.45,-0.2902,52.54,53.67,-1.13,-0.23,-0.6786,54.26,54.05,0.22,-0.44,1479,-1.23,-0.86
NQ,1h,bear,0.05,2372,4.411,-1.07,44.48,47.04,-2.56,-1.15,-1.1218,44.18,46.07,-1.89,-0.82,-2.5627,44.6,45.95,-1.35,-1.43,-3.8074,44.81,45.69,-0.88,-1.73,985,-2.29,-1.14
NQ,1h,bull,0.1,6774,12.597,0.1099,51.2,52.26,-1.07,0.23,0.7229,52.3,53.39,-1.09,1.08,0.7241,53.28,53.67,-0.39,0.85,1.1075,54.31,54.05,0.26,1.02,3192,-0.9,-0.39
NQ,1h,bear,0.1,4722,8.781,-0.9746,44.92,47.04,-2.12,-1.44,-1.2433,44.3,46.07,-1.77,-1.28,-2.07,45.38,45.95,-0.57,-1.7,-1.969,45.57,45.69,-0.12,-1.29,2247,-1.71,-1.07
NQ,4h,bull,0.0,173,1.22,1.3497,53.76,53.33,0.42,0.43,-2.0636,56.07,54.47,1.6,-0.46,-1.3049,57.8,55.05,2.75,-0.19,6.5925,61.85,55.85,6.0,0.74,17,12.29,1.32
NQ,4h,bear,0.0,123,0.867,-2.8272,44.72,46.34,-1.63,-0.69,2.1829,42.28,45.26,-2.98,0.42,5.439,48.78,44.82,3.96,0.8,8.2825,43.9,43.97,-0.07,0.97,5,12.61,-0.32
NQ,4h,bull,0.01,291,2.051,3.5636,55.67,53.33,2.34,1.0,3.4493,56.7,54.47,2.23,0.73,3.2423,58.08,55.05,3.03,0.51,3.9888,58.08,55.85,2.23,0.43,85,8.76,0.89
NQ,4h,bear,0.01,186,1.311,-4.0753,44.62,46.34,-1.72,-0.74,0.0027,41.4,45.26,-3.86,0.0,-8.918,46.77,44.82,1.96,-0.9,-9.5363,40.86,43.97,-3.11,-0.7,44,-6.48,-0.09
NQ,4h,bull,0.02,458,3.229,5.0371,56.99,53.33,3.65,1.45,8.179,56.55,54.47,2.08,1.89,7.3133,57.64,55.05,2.59,1.35,3.8286,57.64,55.85,1.8,0.47,175,7.58,1.33
NQ,4h,bear,0.02,286,2.016,-10.6774,43.71,46.34,-2.63,-2.26,-11.5358,37.76,45.26,-7.5,-1.67,-16.2255,41.61,44.82,-3.21,-2.0,-18.2325,39.51,43.97,-4.46,-1.67,95,-9.5,-1.93
NQ,4h,bull,0.05,1091,7.691,4.9271,56.46,53.33,3.13,2.14,5.3724,54.54,54.47,0.06,1.76,6.8488,56.65,55.05,1.6,1.76,8.882,58.57,55.85,2.72,1.69,490,2.89,1.04
NQ,4h,bear,0.05,588,4.145,-6.6543,43.54,46.34,-2.8,-1.71,-9.5995,39.29,45.26,-5.97,-1.76,-9.2394,43.37,44.82,-1.45,-1.41,-14.4575,41.84,43.97,-2.13,-1.82,253,-5.1,-1.36
NQ,4h,bull,0.1,2060,14.522,3.2442,54.71,53.33,1.37,1.91,4.0417,54.71,54.47,0.24,1.79,6.9795,56.89,55.05,1.84,2.48,8.4076,58.4,55.85,2.55,2.24,951,2.47,1.25
NQ,4h,bear,0.1,1148,8.093,-1.6405,46.25,46.34,-0.09,-0.61,-5.1429,43.12,45.26,-2.14,-1.42,-5.8774,44.95,44.82,0.13,-1.31,-10.8798,44.77,43.97,0.8,-1.99,557,2.34,-0.2
NQ,1d,bull,0.0,11,0.46,18.2045,54.55,55.33,-0.79,0.58,20.5682,36.36,57.41,-21.04,0.47,7.0682,45.45,57.68,-12.23,0.17,9.3636,36.36,59.41,-23.04,0.15,0,,
NQ,1d,bear,0.0,6,0.251,-60.2917,16.67,44.54,-27.88,-1.02,-91.7083,33.33,42.51,-9.18,-1.04,-28.7083,16.67,42.24,-25.57,-0.46,56.5,33.33,40.47,-7.14,0.46,1,-46.72,
NQ,1d,bull,0.01,60,2.508,2.0667,55.0,55.33,-0.33,0.11,21.9125,58.33,57.41,0.93,0.85,27.8667,55.0,57.68,-2.68,0.78,49.0083,61.67,59.41,2.26,1.07,23,-1.11,-0.46
NQ,1d,bear,0.01,20,0.836,-16.675,35.0,44.54,-9.54,-0.42,-63.9125,35.0,42.51,-7.51,-0.89,-5.425,40.0,42.24,-2.24,-0.08,42.425,40.0,40.47,-0.47,0.32,8,-9.22,-0.39
NQ,1d,bull,0.02,114,4.766,-15.6908,54.39,55.33,-0.95,-0.87,7.9715,55.26,57.41,-2.14,0.34,-2.5811,53.51,57.68,-4.17,-0.09,-10.125,56.14,59.41,-3.26,-0.28,48,-3.28,-0.87
NQ,1d,bear,0.02,37,1.547,-19.7027,37.84,44.54,-6.7,-0.71,-67.7568,29.73,42.51,-12.78,-1.45,-23.0811,37.84,42.24,-4.4,-0.49,-5.2568,35.14,40.47,-5.33,-0.07,14,-3.86,-0.28
NQ,1d,bull,0.05,269,11.246,1.5651,55.76,55.33,0.43,0.15,7.263,58.36,57.41,0.96,0.43,1.223,57.25,57.68,-0.43,0.06,19.4043,62.08,59.41,2.68,0.8,112,1.18,-0.07
NQ,1d,bear,0.05,105,4.39,-59.0619,34.29,44.54,-10.26,-2.83,-102.2476,32.38,42.51,-10.13,-3.66,-98.4024,35.24,42.24,-7.0,-3.09,-122.2667,30.48,40.47,-9.99,-2.84,46,-5.41,-2.15
NQ,1d,bull,0.1,498,20.819,-0.99,55.22,55.33,-0.11,-0.12,2.618,58.23,57.41,0.83,0.21,4.7902,58.23,57.68,0.55,0.33,30.0944,61.45,59.41,2.04,1.66,214,-0.48,-0.59
NQ,1d,bear,0.1,218,9.114,-26.8314,38.07,44.54,-6.47,-1.67,-35.4484,36.7,42.51,-5.81,-1.51,-78.3062,36.7,42.24,-5.54,-2.88,-106.0665,33.94,40.47,-6.52,-3.24,111,-1.67,-0.82
