sym,tf,dir,thr,n,net_pt,usd,avg_pt,win,pf,maxdd_pt,maxdd_usd,t,n_is,avg_is,t_is,n_oos,avg_oos,t_oos,usd_oos
ES,1h,bull,0.01,1239,-222.9,-11145,-0.18,38.8,0.898,528.3,26413,-1.03,813,-0.489,-2.82,426,0.41,1.06,8732
NQ,1h,bull,0.01,1107,1178.0,23561,1.064,43.9,1.154,1097.7,21954,1.14,845,-0.831,-1.39,262,7.178,2.11,37611
ES,1h,bull,0.02,1508,-295.6,-14778,-0.196,39.7,0.915,680.6,34030,-0.91,920,-0.552,-2.55,588,0.361,0.83,10610
NQ,1h,bull,0.02,1603,390.0,7799,0.243,44.4,1.026,1496.5,29930,0.27,1066,-1.09,-1.69,537,2.89,1.25,31036
NQ,1d,bear,0.05,103,6138.2,122764,59.594,62.1,2.249,802.4,16048,2.84,57,44.887,1.93,46,77.818,2.1,71593
ES,1d,bear,0.05,82,756.0,37802,9.22,62.2,1.506,437.7,21885,1.2,40,15.769,1.66,42,2.983,0.25,6265
NQ,4h,bear,0.02,286,2631.7,52633,9.202,53.5,1.461,809.6,16192,1.94,191,2.282,0.62,95,23.113,1.91,43915
